,n_sample,logistic,SVM,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.71
f1_macro_mean,100,0.56,0.55,0.56,0.67
f1_macro_mean,500,0.58,0.56,0.69,0.7
f1_macro_mean,1000,0.59,0.58,0.71,0.74
f1_macro_mean,2500,0.62,0.63,0.69,0.74
f1_macro_mean,3000 (all),0.63,0.64,0.7,0.74
f1_micro_mean,0,0.0,0.0,0.0,0.73
f1_micro_mean,100,0.64,0.64,0.64,0.69
f1_micro_mean,500,0.65,0.63,0.72,0.72
f1_micro_mean,1000,0.66,0.65,0.74,0.76
f1_micro_mean,2500,0.68,0.7,0.72,0.76
f1_micro_mean,3000 (all),0.69,0.69,0.73,0.75
f1_macro_std,0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.06,0.07,0.1,0.02
f1_macro_std,500,0.01,0.03,0.02,0.01
f1_macro_std,1000,0.02,0.03,0.01,0.01
f1_macro_std,2500,0.02,0.01,0.02,0.01
f1_macro_std,3000 (all),0.0,0.0,0.01,0.0
f1_micro_std,0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.02,0.02,0.05,0.02
f1_micro_std,500,0.02,0.02,0.02,0.01
f1_micro_std,1000,0.01,0.02,0.0,0.01
f1_micro_std,2500,0.02,0.01,0.01,0.01
f1_micro_std,3000 (all),0.0,0.0,0.01,0.0
