,dataset,sample,learning_rate,epochs,batch_size,hypothesis/context,learning_rate_importance,epochs_importance,batch_size_importance,hypothesis_importance
11,coronanet,5000,1.657335124835223e-05,70,16,,0.77,0.06,0.14,
21,manifesto-8,5000,1.4870122582626128e-05,100,16,template_not_nli_context,0.84,0.12,0.05,0.11
67,cap-sotu,5000,2.589230079642088e-05,80,16,template_not_nli_context,0.78,0.07,0.0,0.03
6,manifesto-military,3970,5.042529642081144e-06,100,16,template_not_nli_context,0.87,0.0,0.0,0.06
47,manifesto-morality,3188,7.014278684098884e-06,40,8,template_not_nli_context,0.91,0.04,0.0,0.08
4,manifesto-military,2500,1.051898755041157e-05,40,8,template_not_nli_context,0.87,0.02,0.0,0.06
16,coronanet,2500,1.4765849143316468e-05,70,16,,0.86,0.08,0.09,
26,manifesto-8,2500,2.8839742751899342e-05,100,16,template_not_nli_context,0.67,0.14,0.03,0.1
34,cap-us-court,2500,3.923498361088029e-05,30,16,,0.76,0.07,0.27,
35,cap-us-court,2500,3.923498361088029e-05,30,16,,0.58,0.14,0.28,
44,manifesto-morality,2500,7.386521405676142e-06,40,8,template_not_nli_context,0.81,0.0,0.0,0.1
54,sentiment-news-econ,2500,5.235823793428279e-06,70,8,,0.95,0.0,0.04,
72,cap-sotu,2500,1.4088624282746425e-05,100,16,template_not_nli_context,0.83,0.12,0.02,0.05
60,manifesto-protectionism,2116,1.8766109391806428e-05,80,8,template_not_nli_context,0.89,0.15,0.03,0.05
1,manifesto-military,1000,2.0002405804371652e-05,100,16,template_not_nli_context,0.86,0.12,0.0,0.08
13,coronanet,1000,4.351278135123e-05,50,16,,0.56,0.04,0.38,
23,manifesto-8,1000,3.223456480976833e-05,100,16,template_not_nli,0.67,0.24,0.16,0.04
31,cap-us-court,1000,2.824610931133549e-05,80,16,,0.54,0.11,0.23,
41,manifesto-morality,1000,2.0941825023833862e-05,80,8,template_not_nli_context,0.7,0.11,0.02,0.1
51,sentiment-news-econ,1000,1.5627655280098945e-05,80,16,,0.91,0.03,0.05,
59,manifesto-protectionism,1000,4.1760721617826623e-05,40,8,template_not_nli_context,0.92,0.06,0.03,0.09
69,cap-sotu,1000,6.639623079859462e-06,90,16,template_not_nli_context,0.7,0.11,0.23,0.04
5,manifesto-military,500,1.1884553988168768e-06,100,8,template_not_nli_context,0.83,0.06,0.0,0.02
17,coronanet,500,4.348251945737302e-05,50,16,,0.58,0.06,0.3,
27,manifesto-8,500,5.462121640282166e-05,100,32,template_not_nli,0.54,0.11,0.16,0.16
37,cap-us-court,500,3.352652321339555e-05,50,16,,0.48,0.14,0.39,
45,manifesto-morality,500,2.115593348301692e-05,100,8,template_not_nli_context,0.72,0.08,0.0,0.06
55,sentiment-news-econ,500,2.7901902849324368e-05,40,16,,0.65,0.22,0.13,
62,manifesto-protectionism,500,6.932976548409424e-06,70,8,template_not_nli_context,0.81,0.2,0.02,0.0
73,cap-sotu,500,0.00010277620057349747,100,32,template_not_nli_context,0.73,0.1,0.1,0.26
7,manifesto-military,100,2.0002405804371652e-05,100,16,template_not_nli_context,0.55,0.18,0.04,0.17
18,coronanet,100,8.515719178275366e-05,70,16,,0.31,0.07,0.52,
28,manifesto-8,100,1.0581335057248516e-05,80,16,template_not_nli,0.19,0.51,0.13,0.05
38,cap-us-court,100,3.2259573411876647e-05,40,16,,0.25,0.21,0.5,
46,manifesto-morality,100,6.626085648083087e-05,100,16,template_not_nli,0.59,0.36,0.04,0.08
56,sentiment-news-econ,100,2.607965659809584e-05,60,8,,0.51,0.25,0.12,
64,manifesto-protectionism,100,1.834907204905545e-06,60,8,template_not_nli_context,0.82,0.14,0.04,0.05
74,cap-sotu,100,1.794442320536409e-05,100,8,template_not_nli_context,0.13,0.46,0.2,0.13
