,dataset,sample,ngram,max_df,min_df,solver,C,class_weight,max_iter,warm_start,context
10,coronanet,10000,"(1, 3)",0.8,0.01,liblinear,3.08,,226,False,
16,manifesto-8,10000,"(1, 2)",0.9,0.01,sag,3.67,,138,True,yes
42,cap-sotu,10000,"(1, 2)",0.9,0.01,liblinear,5.47,,157,False,yes
22,cap-us-court,5426,"(1, 3)",0.9,0.01,liblinear,94.58,balanced,282,True,
7,coronanet,5000,"(1, 2)",0.8,0.01,liblinear,5.04,,327,False,
13,manifesto-8,5000,"(1, 2)",0.7,0.01,sag,3.82,,140,False,yes
19,cap-us-court,5000,"(1, 2)",0.7,0.01,lbfgs,415.4,balanced,872,False,
39,cap-sotu,5000,"(1, 2)",0.7,0.01,saga,112.09,balanced,495,False,yes
0,manifesto-military,3970,"(1, 2)",0.9,0.01,sag,4.46,,52,True,yes
24,manifesto-morality,3188,"(1, 2)",0.7,0.01,sag,4.31,,668,False,yes
30,sentiment-news-econ,3000,"(1, 3)",0.7,0.06,sag,546.5,,735,True,
4,manifesto-military,2500,"(1, 2)",0.8,0.01,saga,5.03,,87,True,yes
9,coronanet,2500,"(1, 2)",0.8,0.01,saga,8.59,,213,False,
15,manifesto-8,2500,"(1, 2)",0.7,0.01,sag,7.79,,106,False,yes
21,cap-us-court,2500,"(1, 3)",0.9,0.01,liblinear,94.58,balanced,282,True,
27,manifesto-morality,2500,"(1, 2)",0.7,0.01,newton-cg,38.56,,721,True,yes
32,sentiment-news-econ,2500,"(1, 3)",0.8,0.06,sag,4.06,,779,True,
41,cap-sotu,2500,"(1, 2)",0.7,0.01,saga,112.09,balanced,495,False,yes
36,manifesto-protectionism,2116,"(1, 2)",0.8,0.01,sag,3.67,,750,True,yes
2,manifesto-military,1000,"(1, 2)",0.7,0.01,lbfgs,42.29,,590,True,yes
6,coronanet,1000,"(1, 2)",0.8,0.01,liblinear,13.43,,292,False,
12,manifesto-8,1000,"(1, 2)",0.7,0.01,saga,112.09,balanced,495,False,yes
18,cap-us-court,1000,"(1, 2)",0.7,0.01,saga,822.71,balanced,633,False,
25,manifesto-morality,1000,"(1, 2)",0.7,0.01,sag,27.62,,742,True,yes
29,sentiment-news-econ,1000,"(1, 2)",0.8,0.01,saga,8.59,,217,False,
34,manifesto-protectionism,1000,"(1, 2)",0.9,0.01,newton-cg,584.07,,987,True,yes
38,cap-sotu,1000,"(1, 2)",0.7,0.01,saga,112.09,balanced,495,False,yes
3,manifesto-military,500,"(1, 2)",0.9,0.01,saga,786.01,,103,True,yes
8,coronanet,500,"(1, 2)",0.8,0.01,saga,772.47,balanced,825,False,
14,manifesto-8,500,"(1, 2)",0.8,0.01,sag,927.14,,92,True,yes
20,cap-us-court,500,"(1, 2)",0.7,0.01,lbfgs,415.4,balanced,872,False,
26,manifesto-morality,500,"(1, 2)",0.7,0.01,saga,112.09,balanced,495,False,yes
31,sentiment-news-econ,500,"(1, 3)",0.7,0.03,sag,198.65,,731,True,
35,manifesto-protectionism,500,"(1, 2)",0.7,0.01,liblinear,209.71,,363,False,yes
40,cap-sotu,500,"(1, 2)",0.7,0.01,saga,112.09,balanced,495,False,yes
1,manifesto-military,100,"(1, 3)",0.8,0.03,newton-cg,921.95,,93,False,yes
5,coronanet,100,"(1, 2)",0.8,0.03,liblinear,950.46,balanced,639,True,
11,manifesto-8,100,"(1, 3)",0.7,0.06,saga,965.67,balanced,142,True,yes
17,cap-us-court,100,"(1, 3)",0.7,0.03,lbfgs,609.95,balanced,314,True,
23,manifesto-morality,100,"(1, 2)",0.8,0.01,saga,212.86,,470,False,yes
28,sentiment-news-econ,100,"(1, 3)",0.7,0.03,sag,65.99,,818,True,
33,manifesto-protectionism,100,"(1, 2)",0.7,0.01,saga,323.1,,565,True,yes
37,cap-sotu,100,"(1, 2)",0.8,0.01,saga,413.21,,374,True,yes
