,dataset,sample,ngram,max_df,min_df,kernel,C,gamma,class_weight,coef0,degree,epochs,context
9,coronanet,10000,"(1, 3)",0.8,0.01,rbf,2.46,scale,,2.05,27,5000,
15,manifesto-8,10000,"(1, 3)",0.7,0.01,rbf,340.93,scale,,7.71,48,5000,yes
41,cap-sotu,10000,"(1, 3)",0.8,0.01,poly,79.47,scale,balanced,2.01,7,5000,yes
22,cap-us-court,5426,"(1, 3)",0.7,0.01,linear,1.19,scale,balanced,2.22,8,2000,
7,coronanet,5000,"(1, 3)",0.8,0.01,rbf,7.45,scale,,4.11,6,3000,
13,manifesto-8,5000,"(1, 3)",0.8,0.01,poly,79.47,scale,balanced,2.01,7,5000,yes
19,cap-us-court,5000,"(1, 3)",0.7,0.01,linear,1.19,scale,balanced,2.22,8,2000,
39,cap-sotu,5000,"(1, 3)",0.7,0.01,linear,2.57,auto,balanced,7.5,46,3000,yes
1,manifesto-military,3970,"(1, 3)",0.8,0.01,poly,79.47,scale,balanced,2.01,7,5000,yes
24,manifesto-morality,3188,"(1, 3)",0.7,0.01,poly,311.74,scale,,3.71,8,5000,yes
29,sentiment-news-econ,3000,"(1, 3)",0.9,0.03,poly,18.61,scale,,3.95,8,2000,
3,manifesto-military,2500,"(1, 3)",0.8,0.01,linear,1.03,scale,,22.89,42,3000,yes
8,coronanet,2500,"(1, 3)",0.7,0.01,linear,2.47,auto,,2.17,11,2000,
14,manifesto-8,2500,"(1, 3)",0.8,0.01,linear,1.48,scale,,23.78,29,7000,yes
20,cap-us-court,2500,"(1, 3)",0.7,0.01,linear,1.19,scale,balanced,2.22,8,2000,
26,manifesto-morality,2500,"(1, 3)",0.7,0.01,rbf,127.92,scale,,7.63,12,2000,yes
31,sentiment-news-econ,2500,"(1, 3)",0.7,0.03,rbf,28.66,scale,,3.38,40,4000,
40,cap-sotu,2500,"(1, 3)",0.7,0.01,linear,2.57,auto,balanced,7.5,46,3000,yes
36,manifesto-protectionism,2116,"(1, 3)",0.8,0.01,rbf,4.52,scale,,1.83,20,1000,yes
2,manifesto-military,1000,"(1, 3)",0.7,0.01,linear,2.57,auto,balanced,7.5,46,3000,yes
6,coronanet,1000,"(1, 2)",0.9,0.01,poly,1.06,scale,,16.95,1,5000,
12,manifesto-8,1000,"(1, 3)",0.7,0.01,linear,2.3,auto,,1.45,40,1000,yes
18,cap-us-court,1000,"(1, 3)",0.7,0.01,linear,1.19,scale,balanced,2.22,8,2000,
25,manifesto-morality,1000,"(1, 3)",0.7,0.01,linear,2.57,auto,balanced,7.5,46,3000,yes
30,sentiment-news-econ,1000,"(1, 3)",0.8,0.03,rbf,5.67,scale,,1.65,22,4000,
34,manifesto-protectionism,1000,"(1, 3)",0.7,0.03,rbf,3.0,scale,,4.04,29,5000,yes
38,cap-sotu,1000,"(1, 3)",0.7,0.01,linear,2.57,auto,balanced,7.5,46,3000,yes
4,manifesto-military,500,"(1, 3)",0.7,0.01,linear,1.53,auto,,40.16,34,2000,yes
10,coronanet,500,"(1, 2)",0.7,0.01,linear,15.47,auto,balanced,71.31,25,2000,
16,manifesto-8,500,"(1, 3)",0.7,0.01,linear,2.57,auto,balanced,7.5,46,3000,yes
21,cap-us-court,500,"(1, 3)",0.7,0.01,linear,1.19,scale,balanced,2.22,8,2000,
27,manifesto-morality,500,"(1, 3)",0.7,0.01,linear,2.57,auto,balanced,7.5,46,3000,yes
32,sentiment-news-econ,500,"(1, 3)",0.7,0.03,rbf,18.74,scale,balanced,8.66,3,1000,
35,manifesto-protectionism,500,"(1, 2)",0.9,0.03,rbf,38.81,scale,,18.46,17,3000,yes
42,cap-sotu,500,"(1, 2)",0.8,0.01,poly,520.17,auto,,14.02,32,4000,yes
0,manifesto-military,100,"(1, 2)",0.9,0.03,rbf,38.81,scale,,18.46,17,3000,yes
5,coronanet,100,"(1, 2)",0.9,0.03,linear,191.58,auto,,7.16,2,1000,
11,manifesto-8,100,"(1, 3)",0.8,0.03,rbf,111.4,auto,,66.71,40,6000,no
17,cap-us-court,100,"(1, 3)",0.9,0.06,poly,2.29,auto,,25.47,19,7000,
23,manifesto-morality,100,"(1, 3)",0.7,0.03,linear,1.84,scale,,3.49,42,3000,yes
28,sentiment-news-econ,100,"(1, 2)",0.9,0.03,linear,2.03,scale,,93.73,45,2000,
33,manifesto-protectionism,100,"(1, 3)",0.8,0.03,rbf,3.31,scale,,1.23,19,5000,yes
37,cap-sotu,100,"(1, 3)",0.7,0.03,linear,1.84,scale,,3.49,42,3000,yes
