,algorithm,sample size,minutes training,hardware
18,SVM_tfidf,100.0,0.0,CPU (AMD Rome 7H12)
19,SVM_tfidf,500.0,0.0,CPU (AMD Rome 7H12)
20,SVM_tfidf,1000.0,0.0,CPU (AMD Rome 7H12)
21,SVM_tfidf,2500.0,0.0,CPU (AMD Rome 7H12)
22,SVM_tfidf,5000.0,0.5,CPU (AMD Rome 7H12)
23,SVM_tfidf,10000.0,1.0,CPU (AMD Rome 7H12)
30,logistic_tfidf,100.0,0.0,CPU (AMD Rome 7H12)
31,logistic_tfidf,500.0,0.0,CPU (AMD Rome 7H12)
32,logistic_tfidf,1000.0,0.0,CPU (AMD Rome 7H12)
33,logistic_tfidf,2500.0,0.0,CPU (AMD Rome 7H12)
34,logistic_tfidf,5000.0,0.0,CPU (AMD Rome 7H12)
35,logistic_tfidf,10000.0,0.0,CPU (AMD Rome 7H12)
12,SVM_embeddings,100.0,0.0,CPU (AMD Rome 7H12)
13,SVM_embeddings,500.0,0.0,CPU (AMD Rome 7H12)
14,SVM_embeddings,1000.0,0.0,CPU (AMD Rome 7H12)
15,SVM_embeddings,2500.0,0.0,CPU (AMD Rome 7H12)
16,SVM_embeddings,5000.0,0.0,CPU (AMD Rome 7H12)
17,SVM_embeddings,10000.0,0.67,CPU (AMD Rome 7H12)
24,logistic_embeddings,100.0,0.0,CPU (AMD Rome 7H12)
25,logistic_embeddings,500.0,0.0,CPU (AMD Rome 7H12)
26,logistic_embeddings,1000.0,0.0,CPU (AMD Rome 7H12)
27,logistic_embeddings,2500.0,0.0,CPU (AMD Rome 7H12)
28,logistic_embeddings,5000.0,0.0,CPU (AMD Rome 7H12)
29,logistic_embeddings,10000.0,0.33,CPU (AMD Rome 7H12)
6,BERT-base-nli,100.0,3.75,GPU (A100)
7,BERT-base-nli,500.0,8.75,GPU (A100)
8,BERT-base-nli,1000.0,11.62,GPU (A100)
9,BERT-base-nli,2500.0,23.43,GPU (A100)
10,BERT-base-nli,5000.0,44.0,GPU (A100)
11,BERT-base-nli,10000.0,45.0,GPU (A100)
0,BERT-base,100.0,1.38,GPU (A100)
1,BERT-base,500.0,5.5,GPU (A100)
2,BERT-base,1000.0,12.12,GPU (A100)
3,BERT-base,2500.0,24.57,GPU (A100)
4,BERT-base,5000.0,37.25,GPU (A100)
5,BERT-base,10000.0,67.33,GPU (A100)
